Mathematics,Science,English,Hindi,Social Science,Physics,Chemistry,Biology,Basic Electrical Engineering,Mathematics I,Analog Electronic Circuits,Environmental Science,Basic Manufacturing Systems,Yoga and Human Consciousness,Professional Communication,Engineering Graphics,Computer Programming,Data Structures and Algorithms,Digital Electronics,Engineering Economics,Object-Oriented Programming,Probability & Statistics,Computer Organization and Architecture,Database Management Systems,Principle of Digital Communication,Operating Systems,Automata and Formal Languages,Web Technology,Business Communication,Software Engineering,Big Data,Design and Analysis of Algorithms,High-Performance Computing,Computer Networks,Artificial Intelligence,Law of Patent,Data Analytics,Internet of Things,Compiler Design,Software Project Management,Cloud Computing,Tools and Techniques Laboratory,Minor Project,Job Role
53,81,61,99,81,53,72,92,99,73,57,97,69,52,81,98,60,96,55,70,82,56,86,77,79,54,75,64,89,94,66,98,76,97,64,88,64,58,92,66,94,61,61,Project Manager
54,69,73,83,61,76,94,95,62,99,51,79,82,51,75,59,78,66,58,92,58,98,74,55,75,93,93,66,78,66,65,65,97,77,74,95,67,78,76,99,84,67,83,Doctor
98,82,96,68,50,60,66,80,71,62,69,64,99,73,79,100,57,61,64,88,50,89,50,85,58,73,58,80,95,83,72,88,79,86,89,89,68,57,85,77,77,89,50,Economist
78,74,67,55,71,59,75,77,99,69,68,66,68,86,57,54,98,73,96,75,78,81,60,71,63,65,100,66,58,65,91,78,87,50,57,57,69,99,80,91,96,66,60,Data Analyst
78,81,72,92,77,72,71,55,57,98,58,76,68,73,61,56,88,96,54,56,83,71,61,82,62,90,89,92,81,60,93,98,68,88,81,93,53,90,81,50,90,55,77,Cybersecurity Analyst
50,51,57,76,94,73,96,83,50,52,83,75,79,53,51,67,70,84,93,89,54,59,54,55,58,73,90,65,96,57,57,95,54,100,90,98,76,56,68,57,55,98,88,Patent Lawyer
79,51,68,74,96,52,64,58,68,57,83,51,96,62,94,83,70,55,64,72,55,59,60,85,64,77,74,65,88,82,72,83,85,78,72,93,83,56,97,86,51,60,86,Project Manager
68,58,80,92,96,69,94,55,92,56,56,63,97,100,80,92,100,94,68,84,76,69,98,75,72,60,69,86,64,78,67,66,56,64,99,88,93,97,69,55,98,73,67,Data Scientist
95,65,79,64,59,55,74,97,59,61,75,65,64,89,86,73,79,99,58,87,76,70,90,80,61,67,96,99,81,89,89,93,92,73,98,51,50,96,50,98,89,75,61,Full Stack Developer
52,84,82,84,84,57,80,50,88,98,94,69,99,93,58,90,70,55,58,91,76,100,61,66,82,88,76,59,89,100,76,91,93,50,80,51,71,57,66,58,73,65,87,Economist
76,67,83,91,66,84,82,93,87,87,70,55,58,97,84,64,84,54,97,74,76,75,51,55,93,77,75,72,50,75,91,63,76,55,82,59,86,91,59,77,100,78,97,Data Scientist
62,98,98,84,63,94,79,72,87,51,67,99,75,60,51,94,60,61,51,92,79,96,68,58,80,68,58,55,83,96,70,64,90,69,51,83,89,52,51,78,72,81,64,Data Scientist
70,66,68,66,84,88,79,87,97,75,51,71,89,58,87,87,100,74,69,62,68,55,69,91,86,59,79,70,60,99,62,70,93,96,100,94,88,86,50,93,82,93,60,Data Scientist
100,63,77,67,55,58,73,80,95,96,50,93,95,90,58,85,57,77,68,84,89,98,50,87,88,91,92,54,73,85,100,96,59,52,68,77,61,73,89,66,87,75,89,Machine Learning Engineer
66,76,69,94,51,90,50,61,75,53,68,77,96,91,94,88,87,90,87,83,59,86,50,63,59,52,85,100,81,68,80,53,98,59,57,93,75,57,93,61,54,74,50,AI Researcher
90,66,57,88,51,83,61,55,61,77,100,85,92,52,56,82,72,96,60,80,94,93,87,53,69,95,82,100,61,70,59,54,72,66,90,92,62,82,60,94,61,59,77,Engineer
50,81,91,59,91,68,98,68,92,77,69,65,58,68,95,69,76,52,81,75,99,56,62,64,76,50,95,58,63,71,83,68,66,60,67,55,75,77,92,75,79,90,77,Geneticist
95,50,69,75,91,61,96,64,51,50,95,69,85,61,51,80,52,75,50,90,51,91,83,97,93,55,97,51,69,68,85,85,71,72,95,93,84,94,82,73,95,88,73,Economist
69,74,50,63,88,86,71,96,93,59,86,65,79,65,99,87,97,67,79,95,100,55,58,95,83,67,76,83,64,85,52,81,69,66,74,99,87,69,67,59,56,73,75,Data Scientist
61,78,81,59,62,61,85,55,96,92,85,67,61,88,89,87,71,70,66,87,95,50,92,55,69,90,76,85,100,59,96,50,88,86,76,78,90,87,73,51,83,59,97,Data Scientist
77,96,80,95,52,54,64,70,86,90,61,98,74,89,86,59,74,93,67,65,91,67,82,81,74,59,71,70,59,94,83,64,66,60,75,76,72,90,59,94,67,58,64,Environmental Engineer
72,62,81,85,65,68,90,72,94,95,64,77,60,66,84,68,93,88,88,87,60,56,76,90,95,57,79,56,82,69,93,54,82,100,95,79,85,56,58,72,87,74,56,Project Manager
71,61,57,82,72,63,87,68,64,79,57,78,54,85,54,86,60,83,51,86,90,56,73,78,84,58,78,88,77,54,79,53,88,72,55,75,94,85,61,91,79,96,98,Data Scientist
78,74,70,88,68,78,92,87,56,63,73,100,62,73,81,92,55,71,66,98,65,100,86,65,89,99,61,63,96,77,50,73,91,83,71,73,56,93,80,90,58,65,92,Doctor
56,82,73,85,92,56,62,52,88,65,66,85,68,54,96,74,82,93,69,51,64,53,63,84,54,73,86,68,92,96,62,71,85,73,84,55,57,72,82,60,79,59,71,Project Manager
97,80,98,87,51,51,89,69,90,71,89,72,64,86,99,86,52,53,94,81,64,50,97,99,89,92,86,89,93,80,50,66,88,83,62,82,82,78,63,56,77,72,60,Cybersecurity Analyst
91,87,79,77,82,81,74,69,55,100,74,63,73,73,59,73,80,76,78,61,86,64,98,53,71,77,84,69,97,57,71,94,69,98,93,93,82,80,79,86,52,98,70,Engineer
81,86,66,88,75,85,93,93,71,72,96,93,60,51,77,56,87,64,61,74,77,84,91,64,70,93,54,54,82,85,94,96,72,86,59,57,83,90,57,87,80,74,64,Engineer
65,71,86,71,95,100,54,76,58,74,67,54,54,67,73,98,76,73,94,77,73,69,66,93,79,70,60,88,52,64,91,68,60,68,67,81,80,76,63,96,64,67,69,Mechanical Engineer
69,76,72,54,61,69,56,52,62,65,63,88,91,56,93,65,90,87,94,60,91,96,74,95,71,72,91,56,85,65,51,60,86,59,73,80,87,93,70,71,90,56,60,Data Scientist
61,92,86,63,54,75,54,83,92,85,69,66,74,72,61,91,86,78,73,50,56,89,82,50,75,75,80,73,59,80,57,83,76,88,70,80,86,76,57,85,86,82,54,Data Scientist
97,65,73,99,100,89,89,53,63,78,72,91,54,87,72,73,71,95,58,98,83,99,59,74,100,73,87,73,70,89,53,51,71,85,69,99,58,87,97,96,69,98,80,Civil Services
73,60,96,53,70,88,70,50,61,75,97,63,67,83,67,58,52,83,78,69,97,65,74,74,57,80,94,96,97,97,64,72,62,67,58,57,52,80,86,87,69,63,72,Web Developer
85,76,78,61,50,88,93,66,77,70,71,82,81,82,54,84,63,74,100,53,64,51,78,76,55,73,84,99,69,66,77,53,88,61,82,99,75,58,51,52,92,73,90,Engineer
65,52,70,86,84,88,93,94,64,50,81,71,78,93,84,94,88,59,94,80,61,93,81,85,100,76,89,54,93,98,58,54,79,87,100,79,88,67,63,62,68,70,54,Data Scientist
79,74,68,50,70,95,98,78,58,66,85,74,68,86,99,98,62,68,84,51,82,56,67,85,66,85,71,79,78,99,95,73,52,57,81,62,100,65,81,59,78,58,52,Data Scientist
73,58,51,55,90,83,96,82,53,60,100,85,86,84,74,99,59,75,67,82,98,66,76,64,93,94,51,99,58,94,97,72,83,79,52,74,67,100,93,71,54,71,74,Web Developer
95,66,67,55,89,84,56,86,92,62,82,58,76,86,88,58,57,51,57,89,55,71,90,70,91,86,66,66,87,53,92,83,91,76,72,84,76,61,91,54,89,54,86,Engineer
100,56,93,82,95,68,85,64,84,56,100,75,77,76,98,80,73,63,92,58,78,68,63,51,61,88,60,59,67,62,84,78,83,63,55,89,65,82,66,80,80,89,63,Patent Lawyer
82,94,55,92,67,86,64,63,52,66,53,75,61,88,93,61,88,56,59,76,70,76,88,71,74,78,89,89,85,76,100,66,64,93,61,88,65,52,87,65,62,75,97,Engineer
93,83,87,57,66,72,90,75,57,78,51,81,58,61,72,84,55,56,68,92,76,94,53,66,97,59,58,52,71,58,69,87,92,81,76,72,63,66,61,51,50,71,87,Economist
75,97,97,65,90,81,63,98,84,56,89,88,92,51,98,76,71,98,58,84,73,68,69,88,94,74,66,72,92,52,78,92,55,80,100,54,64,91,59,79,73,88,95,Project Manager
94,74,68,90,90,100,53,56,57,60,81,59,61,98,83,72,62,51,100,91,52,58,97,80,92,82,52,81,61,99,76,80,90,87,73,74,61,96,51,93,94,51,83,Engineer
77,59,70,92,89,58,70,76,57,94,79,88,65,54,66,88,69,86,97,57,66,98,52,68,72,63,66,65,73,68,63,78,95,70,91,70,60,92,74,52,76,50,57,Mechanical Engineer
96,86,70,89,100,63,50,59,52,65,64,57,91,60,75,99,62,69,97,51,94,92,73,68,100,84,68,81,60,100,89,89,53,93,58,86,82,74,69,70,57,70,62,Machine Learning Engineer
